teams
team_name,record,conference,division,manager
Arizona Diamondbacks,"69-93,",National,West,Chip Hale
Atlanta Braves,"68-93,",National,East,Fredi Gonzalez
Baltimore Orioles,"89-73,",American,East,Buck Showalter
Boston Red Sox,"93-69,",American,East,John Farrell
Chicago Cubs,"103-58,",National,Central,Joe Maddon
Chicago White Sox,"78-84,",American,Central,Robin Ventura
Cincinnati Reds,"68-94,",National,Central,Bryan Price
Cleveland Indians,"94-67,",American,Central,Terry Francona
Colorado Rockies,"75-87,",National,West,Walt Weiss
Detroid Tigers,"86-75,",American,Central,Brad Ausmus
Houston Astros,"84-78,",American,West,A.J. Hinch
Kansas City Royals,"81-81,",American,Central,Ned Yost
Los Angeles Angels of Anaheim,"74-88,",American,West,Mike Scioscia
Los Angeles Dodgers,"91-71,",National,West,Dave Roberts
Miami Marlins,"79-82,",National,East,Don Mattingly
Milwaukee Brewers,"73-89,",National,Central,Craig Counsell
Minnesota Twins,"59-103,",American,Central,Paul Molitor
New York Mets,"87-75,",National,East,Terry Collins
New York Yankees,"84-78,",American,East,Joe Girardi
Oakland Athletics,"69-93,",American,West,Bob Melvin
Philadelphia Phillies,"71-91,",National,East,Pete Mackanin
Pittsbugh Pirates,"78-83,",National,Central,Clint Hurdle
San Diego Padres,"68-94,",National,West,Andy Green
San Francisco Giants,"87-75,",National,West,Bruce Bochy
Seattle Mariners,"86-76,",American,West,Scott Servais
St. Louis Cardinals,"86-76,",National,Central,Mike Matheny
Tampa Bay Rays,"68-94,",American,East,Kevin Cash
Texas Rangers,"95-67,",American,West,Jeff Banister
Toronto Blue Jays,"89-73,",American,East,John Gibbons
Washington Nationals,"95-67,",National,East,Dusty Baker



players
player_id,first_name,last_name,position,bats,throws,contract_status,full_legal_name
90,Jim,Johnson,"Third Baseman, Outfielder and Second Baseman",Right,Right,Contract Info Unavailable,James Harle Johnston 
91,Ian,Krol,Pitcher,Left,Left,"Signed thru 2017, 1 yr/$900k (17)",Ian A. Krol 
92,Eric,O'Flaherty,Pitcher,Left,Left,"Signed thru 2017, 1 yr/$1.25M (17)",Eric George O'Flaherty 
93,Hunter,Cervenka,Pitcher,Left,Left,Pre-Arb Eligible,Colby Hunter Cervenka 
94,Jed,Bradley,Pitcher,Left,Left,Pre-Arb Eligible,Jedidiah Custer Bradley 
95,Chris,Withrow,Pitcher,Right,Right,1st-Year Arb Eligible,Christopher Michael Withrow 
96,Mauricio,Cabrera,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$538k (17)",Mauricio Adolfo (Valdez) Cabrera 
97,Madison,Younginer,Pitcher,Left,Left,Contract Info Unavailable,Matthew John Young 
98,Brandon,Cunniff,Pitcher,Right,Right,Contract Info Unavailable,Bruce Lee Cunningham 
99,Chaz,Roe,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$720k (17)",Chaz Daniel Roe 
100,Matt,Marksberry,Pitcher,Left,Left,Contract Info Unavailable,Matthew Gates Marksberry 
101,Jose,Ramirez,"Third Baseman, Shortstop and Second Baseman",Both,Right,"Signed thru 2021, 5 yrs/$26M (17-21) & 22-23 team option",Jose Enrique Ramirez 
102,Jason,Hursh,Pitcher,Right,Right,Pre-Arb Eligible,Jason Brewster Hursh 
103,Daniel,Winkler,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$545k (17)",Daniel Allen Winkler 
104,Dario,Alvarez,Pitcher,Left,Left,"Signed thru 2017, 1 yr/$539k (17)",Dario Rafael (Espinal) Alvarez 
105,Jason,Grilli,Pitcher,Right,Right,"Signed thru 2017, 3 yrs/$10.75M (15-17)",Jason Michael Grilli 
106,Arodys,Vizcaino,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$1.55M (17)",Arodys Vizcaino 
107,Shae,Simmons,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$536k (17)",Shae Austin Simmons 
108,Alexi,Ogando,Pitcher,Right,Right,Contract Info Unavailable,Alexi Ogando 
109,Matt,Wieters,Catcher,Both,Right,"Signed thru 2017, 1 yr/$10.5M (17) & 18 player option",Matthew Richard Wieters 
110,Chris,Davis,Outfielder and Designated Hitter,Both,Right,Contract Info Unavailable,Charles Theodore Davis 
111,Jonathan,Schoop,Second Baseman and Third Baseman,Right,Right,"Signed thru 2017, 1 yr/$3.48M (17)",Jonathan Rufino Jezus Schoop 
112,J.J.,Hardy,Shortstop,Right,Right,"Signed thru 2017, 3 yrs/$40M (15-17) & 18 vesting option",James Jerry Hardy 
113,Manny,Machado,Third Baseman and Shortstop,Right,Right,"Signed thru 2017, 1 yr/$11.5M (17)",Manuel Arturo Machado 
114,Hyun,Soo Kim
115,Adam,Jones,Centerfielder,Right,Right,"Signed thru 2018, 6 yrs/$85.5M (13-18)",Adam LaMarque Jones 
116,Mark,Trumbo,Outfielder and First Baseman,Right,Right,"Signed thru 2019, 3 yrs/$37.5M (17-19)",Mark Daniel Trumbo 
117,Pedro,Alvarez,Third Baseman and First Baseman,Left,Right,Free Agent,Pedro Manuel Alvarez 
118,Joey,Rickard,Outfielder,Right,Left,"Signed thru 2017, 1 yr/$539k (17)",Joseph Mark Rickard 
119,Nolan,Reimold,Leftfielder,Right,Right,Contract Info Unavailable,Nolan G. Reimold 
120,Ryan,Flaherty,"Second Baseman, Third Baseman and Shortstop",Left,Right,"Signed thru 2017, 1 yr/$1.8M (17)",Ryan Edward Flaherty 
121,Caleb,Joseph,Catcher,Right,Right,"Signed thru 2017, 1 yr/$700k (17)",Caleb Martin Joseph 
122,Steve,Pearce,"Outfielder, First Baseman and Second Baseman",Right,Right,"Signed thru 2018, 2 yrs/$12.5M (17-18)",Steven Wayne Pearce 
123,Francisco,Pena,Catcher,Right,Right,Pre-Arb Eligible,Francisco Antonio Pena 
124,Paul,Janish,"Shortstop, Third Baseman and Second Baseman",Right,Right,3rd-Year Arb Eligible,Paul Ryan Janish 
125,Trey,Mancini,"Designated Hitter, Leftfielder and First Baseman",Right,Right,"Signed thru 2017, 1 yr/$536k (17)",Joseph Anthony Mancini 
